Business Id,Business Name,Address,Take-out,Wi-Fi,Alcohol,Good for Kids,Parking,Good For Lunch,Good For Dinner,Good For Dessert,Good For Latenight,Good For Brunch,Good For Breakfast,Stars,,
iBZRphMDFcS2aMbawc1OvA,Hunan Wok Chinese Restaurant,1822 Homeville Rd West Mifflin PA 15122,1,0,1,1,1,0,0,0,0,0,0,5,,
r8BwdblCW-ZUES37BL0khw,Marge's Place,719 Broadway Ave McKees Rocks PA 15136,1,0,1,1,1,0,0,0,0,0,0,4.5,,
OZfpG8tDCcIEq8pzgZdyKw,Applebee's,6570 Rt 60 Steubenville Pike McKees Rocks PA 15136,1,0,1,1,0,0,0,0,0,0,0,3,,
T49ZvBa6mD4xHSmjHe-ArA,R & B's Pizza Place,421 Lincoln Ave Bellevue Bellvue PA 15202,1,0,1,1,1,0,1,0,0,0,0,4,,
eOv0Dbq2E8sd0CKMAqTImw,Luigi's Pizzeria,531 Lincoln Ave Bellevue Bellevue PA 15202,1,0,1,1,1,0,0,0,0,0,0,4,,
_jsJFrAmFVPRio0eEVExbA,McDonald's,4557 Ohio River Blvd Bellevue Pittsburgh PA 15202,0,0,0,0,0,0,0,0,0,0,0,2.5,,
Lml0-yTNsMYsP9IrSMxw9A,China Sea Chinese Restaurant,610 Lincoln Ave Bellevue Bellevue PA 15202,1,0,1,1,0,0,0,0,0,0,0,2.5,,
QVZBd_eu0oJ4IN0md2XPTQ,Vivo,565 Lincoln Ave Bellevue Bellevue PA 15202,0,0,1,0,1,0,0,0,0,0,0,5,,
udZJ8YgsHdqtFDQkyPTV1Q,Arby's Roast Beef Restaurants,4260 Ohio River Blvd Bellevue Pittsburgh PA 15202,1,0,1,1,0,0,0,0,0,0,0,3,,
ucKQlQvOeJxETLNkpKcaSw,Rusty Nail,560 Lincoln Ave Bellevue Bellevue PA 15202,1,0,1,1,1,0,0,0,0,1,0,3.5,,
ZL6DNzyenFm9Kpz6uADlNg,Pino's Contemporary Italian Restaurant & Wine Bar,6738 Reynolds St Point Breeze Pittsburgh PA 15206,1,0,1,0,1,0,1,0,0,0,0,2.5,,
OcTG-KzDleuRub-pb6JS3Q,Eddie's Pizza Haus,1744 Chislett St Morningside Pittsburgh PA 15206,1,0,0,1,0,0,0,0,0,0,0,4,,
Y2p07YEC8xOsYTHWf0UxiA,Tasty Chinese Restaurant,213 S Highland Ave Shadyside Pittsburgh PA 15206,1,0,1,1,1,1,0,0,0,0,0,3,,
g58NW9q4F09wTMiI7EIjmg,Vento's Pizza,420 N Highland Ave East Liberty Pittsburgh PA 15206,1,0,1,1,1,1,0,0,0,0,0,3.5,,
Pu5uzlZ05pqVlx6LcZbfgw,Minutello's Restaurant & Lounge,226 Shady Ave Shadyside Pittsburgh PA 15206,1,0,1,1,1,0,0,0,0,0,0,3,,
83_p9vIqOq1TUIf3_GD7bA,Enrico's Tazza D'oro Cafe & Espresso Bar,1125 N Highland Ave Highland Park Pittsburgh PA 15206,1,0,1,1,1,0,0,0,0,0,1,4.5,,
Ts4xsKPU7FNPPZRj-nRjIg,Buffalo Blues,216 S Highland Ave Shadyside Pittsburgh PA 15206,1,0,1,0,1,0,1,0,1,0,0,3,,
UtWJ8NGMg-3z28s0RzlUoQ,China Garden,6393 Penn Ave Shadyside Pittsburgh PA 15206,1,0,1,1,1,1,0,0,0,0,0,3,,
bZcqORBnVApUA2-SEn7VEQ,McDonald's,6361 Penn Ave Shadyside Pittsburgh PA 15206,1,0,1,1,0,0,0,0,0,0,0,2,,
B9C6j80ob0f1pwi1Cnnd1Q,Pizza Parma,217 S Highland Ave Shadyside Pittsburgh PA 15206,1,0,1,1,1,0,1,0,0,0,0,3,,
tvXTHj9V5sgRoeVJW_FiTg,Jimmy Tsang's Chinese Restaurant,5700 Centre Ave Shadyside Pittsburgh PA 15206,1,0,1,1,1,0,1,0,0,0,0,3,,
2SwC8wqpZC4B9iFVTgYT9A,Casbah,229 S Highland Ave Shadyside Pittsburgh PA 15206,0,0,1,0,1,0,1,0,0,0,0,4,,
PzG0XmAmtXFs6Fdnubf41g,Quiet Storm Vegetarian & Vegan Cafe,5430 Penn Ave Bloomfield Pittsburgh PA 15206,1,0,1,1,1,1,0,0,0,1,1,4,,
lHP5STO7aomlEQixH8m1aA,Pizza Perfectta,258 S Highland Ave Shadyside Pittsburgh PA 15206,1,0,1,1,1,1,1,0,0,0,0,4,,
#NAME?,East End Food Co-Op,7516 Meade St Point Breeze Pittsburgh PA 15208,1,0,1,1,1,1,0,0,0,0,0,4.5,,
l_Wey2YC6NvVUIH8vTygGg,Cafe Zinho,238 Spahr St Shadyside Pittsburgh PA 15232,1,0,1,0,1,0,1,0,0,0,0,4,,
W7-Ybhe6JWJFXjcbmgvdyA,Great Wall Chinese Food,243 Brownsville Rd Mt. Oliver Pittsburgh PA 15210,0,0,0,0,0,0,0,0,0,0,0,3,,
qUeBDN0D8SC93KeAHhiL-g,Alla Famiglia,804 E Warrington Ave Allentown Pittsburgh PA 15210,0,0,1,0,1,0,1,0,0,0,0,4.5,,
YXuvFMtygHPFEOEXgRtgLQ,No 1 China House,823 E Warrington Ave Allentown Pittsburgh PA 15210,1,0,0,0,0,0,0,0,0,0,0,2.5,,
LltDzuzRbAJbSrqD4JH-3A,Hunan Wok Chinese Takeout,2158 Brownsville Rd Carrick Pittsburgh PA 15210,1,0,1,0,0,1,1,0,0,0,0,3,,
VkqKyq09rDYMhFk5nElWWA,Bishop's Pizza,2104 Brownsville Rd Carrick Pittsburgh PA 15210,1,0,0,1,1,0,0,0,0,0,0,3,,
QIJa5h2d65Bgh82zct7c7A,Frank & Shirley's Restaurant,2209 Saw Mill Run Blvd Overbrook Pittsburgh PA 15210,1,0,1,1,1,1,0,0,0,0,1,4,,
PTkChuI3GPCw-ZL1Iph76A,DiCarlo's Original Pizza,2080 Saw Mill Run Blvd Brookline Pittsburgh PA 15210,1,0,1,1,1,0,1,0,1,0,0,3.5,,
BbIh5NTizhV4Fq_mLmNkpg,Long John Silver's Inc,2417 Brownsville Rd Carrick Pittsburgh PA 15210,1,0,1,1,0,0,0,0,0,0,0,1.5,,
IxQ1ATP_Wg_QujO9nywzcQ,Max's Allegheny Tavern,537 Suismon St North Side Pittsburgh PA 15212,1,0,1,1,1,0,1,0,0,0,0,4,,
TyIsuojeKcTb4Acfg7xqew,China Taste,630 E Ohio St North Side Pittsburgh PA 15212,1,0,0,1,0,0,0,0,0,0,0,4,,
oj8bMz76cKXQClpFTFNW9w,North Shore Deli,539 E Ohio St North Side Pittsburgh PA 15212,1,0,1,1,1,0,0,0,0,0,0,5,,
k1A8pNspBPinGDivxkuDSA,Clark Bar & Grill,503 Martindale St North Side Pittsburgh PA 15212,1,0,1,0,0,0,0,0,0,0,0,3.5,,
#NAME?,Pasta Too,1106 Federal St North Side Pittsburgh PA 15212,0,0,1,0,1,0,0,0,0,0,0,3.5,,
Z7HNl4Gz00cA0_wt0S-vSw,BreadWorks Bakery,2110 Brighton Rd North Side Pittsburgh PA 15212,0,0,0,0,1,0,0,0,0,0,0,4.5,,
OjzR6hUYasFReo0vhVn0-w,Teutonia Mannerchor,857 Phineas St North Side Pittsburgh PA 15212,0,0,1,0,1,0,0,0,0,0,0,4,,
6AnorAMPkTdSDbUkOoV1Rw,Billy's Troy Hill Bistro,1720 Lowrie St Troy Hill Pittsburgh PA 15212,0,0,1,1,0,0,0,0,0,0,0,3.5,,
rEKBr81s19Soh3dYj4bcGQ,Pizza Hut,1219 Federal St North Side Pittsburgh PA 15212,1,0,0,0,1,0,0,0,0,0,0,3.5,,
q_BKmbdlYfQJroJVHfYMUQ,Legends North Shore,500 E N Ave North Side Pittsburgh PA 15212,1,0,1,1,1,0,1,0,0,0,0,4,,
vMCCvnDU-Iz_D_pmbcMqzA,Peanutz,410 E Ohio St North Side Pittsburgh PA 15212,0,0,1,0,0,0,0,0,0,0,0,2.5,,
hUV4bjXE8Ijd-pDNr8S6mA,Steves New York Hotdog Shop,1110 Federal St North Side Pittsburgh PA 15212,1,0,1,1,1,1,0,0,0,0,0,4.5,,
Z101WZaISochG6g7tI2ZVw,Atria's Restaurant,103 Federal St North Side Pittsburgh PA 15212,1,0,1,1,1,1,1,0,0,0,0,3,,
Eixtf79t1_ZKaC-7J2kAWg,Pickles Pizza & Sandwich Emporium,424 E Ohio St North Side Pittsburgh PA 15212,1,0,1,1,0,0,0,0,0,0,0,3.5,,
Z0OGW8PysysRXE0dR7QxQQ,Wilson's Bar-B-Q,700 N Taylor Ave North Side Pittsburgh PA 15212,1,0,1,1,1,1,1,0,0,0,0,4,,
I9-Ei8_KYtMjbixNJSCvwA,The Isaly Company,537 E Ohio St North Side Pittsburgh PA 15212,1,0,1,1,0,0,0,0,0,0,0,3.5,,
URGZtJhOCrbJ8-RkLvslOg,Firewaters,120 Federal St North Side Pittsburgh PA 15212,1,0,1,0,0,0,0,0,0,0,0,3,,
yfuoL_w76WFVHcGJbw0IIg,Nick's Place,1276 Benton Ave Brighton Heights Pittsburgh PA 15212,1,0,1,0,0,0,0,0,0,0,0,3,,
YUZVBdGmagwXV-yOhR-1GQ,Miller's Seafood House,3853 California Ave Brighton Heights Pittsburgh PA 15212,1,0,1,1,1,1,1,0,0,0,0,2.5,,
OIL-eZX8d10jgWPLW-E7zA,Chubby's Pizza & Hoagies Northside,3627 California Ave Brighton Heights Pittsburgh PA 15212,1,0,1,1,1,1,1,0,0,0,0,3,,
PSlOtPIo28BvWOzdLmRRRQ,Knossos Gyros & Sis-Kabob,1439 Potomac Ave Dormont Pittsburgh PA 15216,1,0,0,1,0,0,0,0,0,0,0,3,,
wan0X-oHpLgGTPXqaICZCw,Huddle,1648 Broadway Ave Beechview Pittsburgh PA 15216,1,0,1,0,1,0,1,0,0,0,0,3.5,,
QnyzlVMyx0Exri-Lay10cA,Sushi Three,297 Beverly Rd Pittsburgh PA 15216,1,0,1,1,1,1,1,0,0,0,0,3.5,,
81sqVj0xHyJXGYT0ip5fmQ,Green Garden,300 Beverly Rd Pittsburgh PA 15216,1,0,1,1,0,0,0,0,0,0,0,2.5,,
m61vZsAxmTEq3uiCjFjM8Q,Tom's Diner,2937 W Liberty Ave Dormont Pittsburgh PA 15216,1,0,1,1,1,1,0,0,1,1,1,3.5,,
93UCt9OgWYmypZCpXtUu8g,Beto's Pizza & Restaurant,1473 Banksville Rd Banksville Pittsburgh PA 15216,1,0,1,1,1,1,1,0,0,0,0,3.5,,
ORTRrw3ClZ0Ld0LgY1H_5g,Eat'n Park Restaurant,2874 W Liberty Ave Dormont Pittsburgh PA 15216,1,0,1,1,1,0,0,0,0,1,1,3.5,,
9aw0t0rlACKkMaxsX0KlKA,Dairy Queen,1691 McFarland Rd Pittsburgh PA 15216,1,0,0,1,1,0,0,0,0,0,0,4,,
5Udv4CASAXB2eH66TefWPQ,Cain's Saloon,3239 W Liberty Ave Dormont Pittsburgh PA 15216,1,0,1,0,1,0,1,0,1,0,0,4,,
2Igiyhi82R8_QaaPplRmCw,The Dor-Stop Restaurant,1430 Potomac Ave Dormont Pittsburgh PA 15216,1,0,1,1,1,0,0,0,0,0,1,4.5,,
Cex2R008tMFg8R5fAtf77w,Campiti's Don Pizzeria,1509 Potomac Ave Dormont Pittsburgh PA 15216,1,0,1,1,1,0,1,0,0,0,0,3.5,,
n7G2XFGvmS3duDJ4AzjKiQ,Namaste India,1150 Banksville Rd Banksville Pittsburgh PA 15216,1,0,1,1,1,1,0,0,0,0,0,2.5,,
8tBfgYCI6Fz9xrSYCYCYXA,Maharaja Restaurant,1150 Banksville Rd Banksville Pittsburgh PA 15216,1,0,1,1,1,1,0,0,0,0,0,3,,
Tb7hQ37UFA2QFaMwjFieQw,Arby's,1378 Banksville Rd Banksville Pittsburgh PA 15216,1,0,0,1,1,0,0,0,0,0,0,2.5,,
qemCNgjeYGcFsRwxW9x4xw,Bado's Pizza Grill And Ale House,307 Beverly Rd Pittsburgh PA 15216,1,0,1,1,1,1,1,0,0,0,0,3.5,,
iudRNo5Q8W7firUBYJEqQQ,Little Nipper's Pizza,303 Beverly Rd Pittsburgh PA 15216,1,0,0,0,0,0,0,0,1,0,0,2.5,,
2X5G4Ujq0s4Wfn4TC7gX0g,D's Six Pax & Dogz,1118 S Braddock Ave Pittsburgh PA 15218,1,0,1,1,1,0,1,0,0,0,0,4.5,,
XQ7elqSFIRogvqpiTZz-Wg,Dunning's Grill,1100 S Braddock Ave Pittsburgh PA 15218,1,0,1,1,1,1,1,0,0,0,0,3,,
JL5B_s1EoN4zIru4JSw4Qg,Taco Bell,1603 S Braddock Ave Pittsburgh PA 15218,1,0,1,1,0,0,0,0,0,0,0,3.5,,
IafkUjO5CiXAu9LfB4_Sgg,Rudy Martino Original House of Submarines,1918 Monongahela Ave Pittsburgh PA 15218,1,0,1,1,0,0,0,0,0,0,0,5,,
OS1fGOcx_Erie5gujWIFNQ,China House II,7400 Church St Swissvale PA 15218,1,0,0,1,0,0,0,0,0,0,0,3.5,,
DzOPHyrG2XuVqKEvHCnN7w,Triangle Bar & Grill,2122 Monongahela Ave Pittsburgh PA 15218,1,0,1,0,1,1,0,0,0,0,0,4.5,,
nqRNOug4OMrYTTZg-qLxXA,Veltre's Pizza,7520 Washington St Swissvale PA 15218,1,0,1,1,0,0,0,0,0,0,0,4,,
K8Ebs8G1rwc3DBdznHvDxg,Wendy's,1703 S Braddock Ave Pittsburgh PA 15218,1,0,1,1,1,0,0,0,0,0,0,3,,
h3la53L9-OX_HlfeAySh0Q,Applebee's,Edgwd Towne Ctr Pittsburgh PA 15218,1,0,1,1,0,0,1,0,0,0,0,2.5,,
1vQLTKwmcmZXtNzfKEvMmA,Benihana,2100 Greentree Rd Pittsburgh PA 15220,1,0,1,1,1,1,1,0,0,0,0,3.5,,
hhNlQWaKqGbMPoeZHoL-IQ,Mad Mex,2101 Greentree Rd Pittsburgh PA 15220,1,0,1,1,1,1,1,0,0,0,0,3.5,,
SgQYRICpMdWCmY7wM2Cmcw,Max & Erma's,1910 Cochran Rd Pittsburgh PA 15220,1,0,1,1,1,0,0,0,0,1,0,2.5,,
uwiD9jxs09xxXG0by_xKuA,Bruegger's Bagels,1644 Cochran Rd Pittsburgh PA 15220,1,0,0,1,0,0,0,0,0,0,0,3,,
mrbfnIXD5U4pMxuZgKedOw,Sichuan House Chinese Restaurant,1717 Cochran Rd Pittsburgh PA 15220,1,0,0,0,0,0,0,0,0,0,0,3,,
sNmQJQWEVGheCnw5Tf4Phg,Panera Bread,1900 Greentree Road Pittsburgh PA 15220,1,0,1,1,0,0,0,0,0,0,1,4,,
jrSGpWnVJy8jqgN6XSC7Nw,Aracri's Greentree Inn,1006 Greentree Rd Greentree Pittsburgh PA 15220,1,0,1,0,1,0,0,0,0,0,0,4,,
KZXtzoI84iI1CEcAnD7OPA,Vincent's of Greentree,333 Mansfield Ave Greentree Pittsburgh PA 15220,1,0,1,1,1,1,1,0,0,0,0,3.5,,
zpNGtjBlIkDq_PLGSCPlAg,Olive Garden Italian Restaurant,971 Greentree Rd Greentree Pittsburgh PA 15220,1,0,1,1,1,1,0,0,0,0,0,3.5,,
ZS7-I04iDm4oRP_GJsJqrA,Boston Market,978 Greentree Rd Greentree Pittsburgh PA 15220,1,0,1,1,1,1,0,0,0,0,0,4,,
FtjvnLhh51ZBYEpKAARaFQ,Soho,203 Federal St North Side Pittsburgh PA 15212,1,0,1,1,1,0,1,0,1,0,0,3,,
z4cCguoHdU48pj6sXMIzqg,Original Fish Market,1001 Liberty Ave Downtown Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,2.5,,
sbTF0cLKZH6_BP8BLARVDg,Bossa Nova,123 7th St Downtown Pittsburgh PA 15222,0,0,1,0,1,0,0,0,1,0,0,2.5,,
OxIeMVcop5oxBUWANi-1Rw,Olive Or Twist,140 6th St Downtown Pittsburgh PA 15222,1,0,1,0,1,0,0,0,1,0,0,3.5,,
imzKM9-mgN1Yk_RIXx3IgA,Sunseri Jimmy & Nino Co,1901 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,3.5,,
IEHaU93HpEbdUO4z4bKzDw,Jo Jo's Restaurant,100 24th St Strip District Pittsburgh PA 15222,1,0,1,1,1,0,0,0,0,0,1,3.5,,
NeUf9FyCCIN4MEseNyqkXQ,Primanti Bros,2 Market Sq Downtown Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,3.5,,
JcP-IIrZkW_Yyv4a0yLRCw,Monte Cello's Downtown,305 7th Ave Downtown Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,3,,
4LcFKTr6Ah87VcxW2z5e6w,McDonald's,608 Wood St Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,1.5,,
buVALudg30kgkDusqB3yJw,Reyna Foods,2023 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,4.5,,
wHi8ODv7TGmeUB02XoX-mA,Roland's Seafood Grill,1904 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,2.5,,
WXpi9z1bqF9raZSW8z70Ow,Salonika Gyros,133 6th St Downtown Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,3.5,,
j7kgLc4Uys_sb-H7_Velcg,Brown Bag Delis,1001 Liberty Ave Downtown Pittsburgh PA 15222,1,0,1,1,0,0,0,0,0,0,0,3,,
DhDNNHZtaBxYNSqJz64ixg,La Gondola Pizzeria & Restaurant,4 Market Sq Downtown Pittsburgh PA 15222,1,0,0,1,0,0,0,0,0,0,0,4.5,,
PxP19Rb88OQKiSMl2oWNsg,Christos,130 6th St Downtown Pittsburgh PA 15222,1,0,1,1,1,0,1,0,0,0,0,3,,
9mwShpTgZofOujt4JfyGmw,Spaghetti Warehouse,2601 Smallman St Strip District Pittsburgh PA 15222,1,0,1,1,1,0,1,0,0,0,0,2.5,,
90Fqfzd8zD9AuuNBSv9lAg,Morton's The Steakhouse,625 Liberty Ave Ste 180 Downtown Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,4,,
KEzIorUdFjqCuxbRxKPghA,Mamma Lucia Pizza,433 Wood St Downtown Pittsburgh PA 15222,1,0,1,1,0,0,0,0,0,0,0,4,,
pvGT62T6Ci1LKOS9DL42pg,Peppi's,12 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,4,,
OT3yVpDrDVITDCIYox8d9A,Buon Giorno Cafe,20 Stanwix St Downtown Pittsburgh PA 15222,1,0,0,1,0,1,0,0,0,0,0,3.5,,
8AskFIgGxqNb8RbcDCAfmA,Madonna's Restaurant,441 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,4,,
A2XkbJ07hrR80t0EFgLikQ,Smithfield Cafe,639 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,3.5,,
L5387MoRyx9orlRyYfCSPA,Andy's Sushi Bar,1711 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,4,,
dHDi4wCcjsOR6vcZ8oOIoA,Sushi Kim Restaurant,1241 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,1,1,0,1,0,0,0,0,3,,
41CXLCeB8z2oNdIOvnrzIA,Redfin Blues,100 Waterfront Dr Pittsburgh PA 15222,1,0,1,1,1,0,1,0,0,0,0,2.5,,
l2gPB9mqiHSbpwSUa7zrjg,F. Tambellini Ristorante,139 7th St Downtown Pittsburgh PA 15222,1,0,1,1,1,0,0,0,0,0,0,2,,
gfpl_GyyY5uj6zJnIdzImQ,Caffe Amante,120 5th Ave Ste 2 Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,3.5,,
l-OmDgEd4QkZpyXVpkp2yA,Villa Reale Pizzeria & Restaurant,628 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,3,,
0FgwBx7pgmNdUtsd_T8UYQ,Ruth's Chris Steak House,6 PPG Pl Downtown Pittsburgh PA 15222,1,0,1,0,1,0,1,0,0,0,0,4,,
SzHTdZR3yY1WBYUxkVxmUQ,Papa J's Centro,212 Blvd of the Allies Downtown Pittsburgh PA 15222,1,0,1,1,0,1,0,0,0,0,0,3,,
xgcZN3F2f9LxLASQK_xzhw,Smallman Street Deli,2840 Smallman St Strip District Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,4,,
_aGVicux2dJm9sqzLSCJtg,Subway,703 Liberty Ave Downtown Pittsburgh PA 15222,1,0,1,1,1,0,0,0,0,0,0,3.5,,
uUorjstNslr3gkIsVGtQAg,Max & Erma's Restaurants,630 Stanwix St Downtown Pittsburgh PA 15222,1,0,1,1,1,1,1,0,0,0,0,3.5,,
GSiHJG8LqTn5ZQAY1r9q9w,Liang's Hunan Restaurant,957 Liberty Ave Downtown Pittsburgh PA 15222,1,0,1,1,1,0,0,0,0,0,0,1.5,,
0Lsd35rHY6UtPFHjjxJ1LA,1902 Tavern,24 Market Sq Downtown Pittsburgh PA 15222,0,0,1,1,0,0,0,0,0,0,0,2.5,,
Bza-l75OiKcMRmTYILpyfQ,Wiener World,626 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,1,0,0,0,0,0,0,0,3,,
#NAME?,Sammy's Famous Corned Beef,420 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,0,1,1,0,0,0,0,0,2.5,,
1E53rS8afK2jiLod8Jwy7A,Fu Lai Chinese Restaurant,525 Penn Ave Downtown Pittsburgh PA 15222,1,0,1,0,0,0,0,0,0,0,0,2.5,,
j0uzPYXgu-hmkvuGnj-B1w,Mark's Grille & Catering,923 Penn Ave Downtown Pittsburgh PA 15222,0,0,1,0,0,0,0,0,0,0,0,3.5,,
AH1PrZQDIdjpKgy1z8XxUg,Zorba's Gyros,400 Smithfield St Downtown Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,3.5,,
XmdTkxKyJd7TuDLoiic1kg,Lidia's Pittsburgh,1400 Smallman St Strip District Pittsburgh PA 15222,0,0,1,0,1,0,1,0,0,0,0,3.5,,
HDTv_rnmSL8AQ04_zTWARA,Sports Rock Cafe,1400 Smallman St Strip District Pittsburgh PA 15222,1,0,1,0,1,1,0,0,0,0,0,2.5,,
nBl_NeArpL08MpoghDiA_A,Ephesus Mediterranean Kitchen,219 4th Ave Downtown Pittsburgh PA 15222,1,0,1,1,1,1,1,0,0,0,0,4,,
J011r7mUV1QhgLJ7GkrtMw,Peppi's,1721 Penn Ave Strip District Pittsburgh PA 15222,1,0,1,1,1,1,0,0,0,0,0,4,,
