Business Id,Business Name,Address,Alcohol,Dancing,Noise Level,Stars
1Kuuu75LVwr5-1OQ3Zv71w,Squirrel Hill Cafe,5802 Forbes Ave Squirrel Hill Pittsburgh PA 15217,1,0,"loud",3.5,
Klog5rsTfJEf41Kqva3FsA,Ryan's Pub,607 S Braddock Ave Regent Square Pittsburgh PA 15221,1,0,"average",3.0,
yGWjaYeSJ9O_LGlQwu3QCQ,Macado's,8111 Concord Blvd Concord Mills NC 28027,1,0,null,3.5,
-I-UTl6NN6FJOJCcyei0wA,Picadeli's Pub,1600 Matthews Mint Hill Rd Ste A Matthews NC 28105,1,0,"average",3.0,
j2vhZd0f9cwVL6AbQPNEng,Matthews Ale House,107 N Trade St Matthews NC 28105,1,0,null,4.5,
gV9IOJ2YFSfTvg_IRjyHAg,East Boulevard Bar & Grill,1315 East Blvd Ste 130 Dilworth Charlotte NC 28203,1,0,"average",3.0,
GcgXMZHVpUBjZF4bmSAtZg,Dilworth Billiards,300 E Tremont Ave South End Charlotte NC 28203,1,0,"quiet",4.5,
RrN4MxdYvn274w_TCBTTWQ,Tyber Creek Pub,1933 South Blvd South End Charlotte NC 28203,1,0,"average",3.5,
vtMNpuMuQW1A7v93duCPSg,Gin Mill South End,1411 S Tryon St South End Charlotte NC 28203,1,0,"very_loud",3.5,
MGDuAYuyDJd-J-sv0wNoSQ,Thomas Street Tavern,1228 Thomas Ave Plaza Midwood Charlotte NC 28205,1,0,"loud",4.0,
kLeXxdySJ0Arrs3NWK2itA,Steamers Sports Pub,1513 Pierson Dr Eastland Charlotte NC 28205,1,0,"average",4.0,
t3biB9BlC201XRUNjG28rw,Selwyn Avenue Pub,2801 Selwyn Ave Myers Park Charlotte NC 28209,1,0,"loud",3.5,
vwEmnhJjcD8Zgp8K_8pJRA,Sir Edmond Halley's,4151A Park Rd Charlotte NC 28209,1,0,"average",3.5,
JncdQGHMo52NhrA8FP6cHQ,Big Al's Pub & Grubberia,9242 Albemarle Rd Eastland Charlotte NC 28227,1,0,"average",3.5,
GQW0uzms1jN-L_gBG6zi4g,Monte's Grill & Pub,608A W Verona Ave Verona WI 53593,1,0,"average",3.5,
3WYYCZq4spbRviIFN7dkJw,Shamrock Bar,117 W Main St Capitol Madison WI 53703,1,0,"average",4.0,
c1cGCn1syl9_c6XKEu4Mhg,Irish Pub,317 State St Capitol Madison WI 53703,1,0,"average",3.5,
_NW61hsQvk7u2E_xWiWyMQ,Main Depot Tavern,627 W Main St Capitol Madison WI 53703,1,0,null,4.0,
RC_6Br1TzdgWWDDIZMAI1A,Smoky's Steakhouse,3005 Univ Av Madison WI 53705,1,0,"average",3.5,
OzB1Hv1A8Lz_V4hYZ7Duzw,Village Bar,3801 Mineral Point Rd Westmorland Madison WI 53705,1,0,"average",4.0,
Ihd6mI4cfXzIwcMSXZnhnA,Tony Frank's Tavern,1612 Seminole Hwy Madison WI 53711,1,0,"average",3.5,
oZaCeojhVeBMvcjk_bFDag,Feiler's,4506 Verona Rd Madison WI 53711,0,0,null,4.0,
n6cm_UuOgYnrMSgcc9DDwQ,Dry Bean,5264 Verona Rd Fitchburg WI 53711,1,0,null,2.0,
0UL_ZuWauXthShF2mb9iKw,Pitcher's Pub,323 W Beltline Hwy Madison WI 53713,1,0,"loud",3.5,
-gefwOTDqW9HWGDvWBPSMQ,Seamus McCaffrey's,18 W Monroe St Phoenix AZ 85003,1,0,"average",3.5,
cqIHyZ3Q0D4vBi-vb4mi-g,Bikini Lounge,1502 Grand Ave Phoenix AZ 85007,1,1,"average",4.0,
x9XX-dcVZfpU_J5UWuWzeg,O'Connor's Pub,2601 W Dunlap Ave Phoenix AZ 85021,1,0,"average",4.5,
dOUtKHQ8Q0eHFjKPmi07tw,Bailey's Pub,3414 W Union Hills Dr Ste 16 Phoenix AZ 85027,1,1,"average",3.0,
VF9wvcgVPDVa9LBDHPrXuw,Stackers Restaurant,2855 W Cactus Rd Phoenix AZ 85029,1,0,"average",4.0,
3g2ofV7mhEoPyfF7vFMObA,Mulligan's,7318 E Stetson Dr Scottsdale AZ 85251,1,0,"quiet",3.0,
9r5YLKGTdQz_Q29cBifePQ,British Open English Pub & Grill,1334 N Scottsdale Rd Scottsdale AZ 85257,1,0,"average",3.5,
JokKtdXU7zXHcr20Lrk29A,Four Peaks Brewing Co,1340 E 8th St Ste 104 Tempe AZ 85281,1,0,"loud",4.5,
L2J3JfjXZLnX1rLhWKthqA,Rula Bula,401 S Mill Ave Tempe AZ 85281,1,0,"average",3.5,
i8Kf3Mkp1Ln-6IyF_CEFdA,Big Fish Pub,1954 E University Dr Tempe AZ 85281,1,1,"very_loud",3.5,
2ceeU8e3nZjaPfGmLwh4kg,Casey Moore's Oyster House,850 S Ash Ave Tempe AZ 85281,1,0,"loud",4.0,
fvQJ9iwsdCZyWkKmrmP53Q,Hooper's Pub,5114 W Northern Ave Glendale AZ 85301,1,1,"average",3.5,
rhN7xg5XzvRKvdAXE9lBtA,Q Bar and Grill,6750 W Olive Ave Ste 102 Peoria AZ 85345,1,0,"average",3.5,
JVmC54M6XBrjCBim71ELtw,Kavanaugh's Irish Pub and Grill,3290 West Ann Rd North Las Vegas NV 89031,1,0,"quiet",3.0,
Q5czYuV9hAMqj0UAHSxnTw,Scoundrels Pub,4850 Camino Al Norte North Las Vegas NV 89031,1,1,"average",4.0,
d53YK5c0OczXpDCBijbJLg,5th Avenue Pub & Restaurant,906 S 6th St Downtown Las Vegas NV 89101,0,0,null,2.5,
VRYTY0V7WZcP-yzv7bkllg,PT's,4825 W Flamingo Ave Suite #3 Las Vegas NV 89103,1,0,"average",3.5,
wjPlA2DQm4VpmhrkyzRmMQ,The Lodge At Hualapai,3460 S Hualapai Way South Summerlin Las Vegas NV 89117,1,0,null,3.0,
YK9JsdBPgMvVSIGMuplX6g,Three Angry Wives,8820 W Charleston Blvd Ste 105 Westside Las Vegas NV 89117,1,0,"average",3.5,
OaiGAZoW7TQyHfKJAgu5ZQ,PT's,1661 E Sunset Rd Southeast Las Vegas NV 89119,1,0,"loud",3.0,
r70nuDpkR5-g1oShW2ANvA,Crown & Anchor British Pub,1350 E Tropicana Ave University Las Vegas NV 89119,1,0,"average",4.0,
GoKArNsn4O4RQi3M2Choog,Stake Out,4800 S Maryland Pkwy University Las Vegas NV 89119,1,0,"average",4.0,
vPFiYlgyTpoqonN3rZkJhg,PT's,4310 E Tropicana Ave Eastside Las Vegas NV 89121,1,0,null,3.0,
_Gen_esDfnsAR8ibdfVy4g,Paddy's Pub,4160 S Pecos Rd Eastside Las Vegas NV 89121,1,1,null,3.5,
5oaHZw1g-Rbiianma5zU5g,PT's,582 E Silverado Ranch Blvd Southeast Las Vegas NV 89123,1,0,"average",3.5,
Nv3oky9GGH5KPiXjXIOSKw,PT's,739 S Rainbow Blvd Westside Las Vegas NV 89145,1,0,"average",2.5,
ZVabFAYFVw3kDk2HyHNqhg,Sean Patricks Pub,8255 W Flamingo Rd Spring Valley Las Vegas NV 89147,1,0,"average",2.5,
b248eH4DPvnWHq3h_BqHVg,Brewske's,3645 S Durango Dr Spring Valley Las Vegas NV 89147,1,0,"average",3.0,
vGm5HVOg8M-I7lzAFLzrcg,PT's,3935 S Durango Dr Spring Valley Las Vegas NV 89147,1,0,"loud",2.5,
Z3qmQ6N4VEudR45exSHrTg,Mickey's Tavern,1524 Williamson St Williamson - Marquette Madison WI 53703,1,0,"loud",4.0,
EH7sT3dV-B365RETWCQhIA,Dotty Dumpling's Dowry,317 N Frances St Capitol Madison WI 53703,1,0,"average",4.0,
RHZcJuvnYxiLOkoiE1aTcQ,Brocach,7 W Main St Capitol Madison WI 53703,1,0,"average",4.0,
hO91yFmQKGV5l0OHUyRmeg,The Plaza Tavern,319 N Henry St Capitol Madison WI 53703,1,0,"loud",4.0,
eZT3KnWP7Zz93KH0EvWSlw,Bar at Times Square,New York-New York Las Vegas Hotel & Casino 3790 Las Vegas Blvd S The Strip Las Vegas NV 89109,1,1,"very_loud",3.5,
WhBxWYRj6rycigYqdXY9cA,Great Dane Pub & Brewing Co,123 E Doty St Capitol Madison WI 53703,1,0,"average",4.0,
yc5AH9H71xJidA_J2mChLA,Rosie McCaffrey's,906 E Camelback Rd Phoenix AZ 85014,1,0,"loud",3.5,
YQeMF7q6xJ61v_OvAMDSlg,Finnigan's Wake,20 E General Robinson St North Side Pittsburgh PA 15222,1,0,"average",2.5,
KvZ-05xTCXzEx98ZHsZ_Dw,The Blind Pig Company,120 N Walnut St Champaign IL 61820,1,0,"average",4.5,
FqzgT9Y-Yu7jiWdHnGW-kQ,The Vig,4041 N 40th St Phoenix AZ 85018,1,0,"average",4.0,
W7xb2iS4cYL14Yi5LOGSkA,Bison Witches Bar & Deli,21 E 6th St Ste 146 Tempe AZ 85281,1,0,"average",3.0,
noLH_u4MJzfXYYHqcByjnA,Dubliner,3841 E Thunderbird Rd Phoenix AZ 85073,1,0,"average",3.5,
o9nCXNC14VScabiy2bftgw,Tilted Kilt Pub & Eatery,7077 E. Bell Rd. Scottsdale AZ 85254,1,0,"loud",3.0,
WNy1uzcmm_UHmTyR--o5IA,Cornish Pasty Company,960 W University Dr Tempe AZ 85281,1,0,"average",4.5,
Vtx0VYkybAd71fzwgaoQ8g,The Skeptical Chymist,15688 N Pima Rd Ste C6 Scottsdale AZ 85260,1,0,"average",3.5,
CXtXYZRF5SWAIzcjAOM5jA,P T's,1089 E Tropicana Ave University Las Vegas NV 89119,1,0,"average",3.0,
k-D2NUfaUbuQzPaMXniXcA,The Pub at Monte Carlo,Monte Carlo Hotel and Casino 3770 Las Vegas Blvd S The Strip Las Vegas NV 89109,1,0,"loud",3.0,
fZVZeZJkziJ7B1rIcmT3Iw,Sierra Gold,6515 S Jones Blvd Spring Valley Las Vegas NV 89118,1,0,"loud",3.5,
VC24HxKvTi_2ZVWiC3j1MQ,Angry Ale's,1518 Montford Dr South Park Charlotte NC 28209,1,0,"loud",3.0,
PeQ3gtLHAg9ov0YuM-m21A,Seven Saints,32 E Chester St Champaign IL 61820,1,0,"average",3.5,
drqCrnSqtGffJ1z60aWkxg,Tilted Kilt Pub & Eatery,660 West Warner Road Tempe AZ 85284,1,0,"average",3.0,
vkQDObdBffLtHxJ_s8rgOQ,Molly Brannigans,1744 S Val Vista Dr Ste 101 Mesa AZ 85204,1,0,null,3.0,
6JaonzYu24vAR8xe3bKe6w,Village Pub & Poker,5325 S Fort Apache Rd Spring Valley Las Vegas NV 89148,0,0,null,3.5,
y-kH7jF1mG5GXmejbHJ_Ag,PT's,2875 S Nellis Blvd Sunrise Las Vegas NV 89121,0,0,null,3.5,
iPIbM34qhj3Slz1HiWVYVg,Steiner's,8410 W Cheyenne Ave Northwest Las Vegas NV 89129,1,0,"average",3.5,
lzl3cfgVEGMtezF8oRqXDA,Steiner's A Nevada Style Pub,8168 Las Vegas Blvd S Southeast Las Vegas NV 89123,1,0,"average",4.0,
dfb_VmNKMJ8QjVi48y5vcQ,PT's,1383 E Silverado Ranch Blvd Southeast Las Vegas NV 89123,1,0,"quiet",3.0,
yfzr4CJpDnbMYq91ADc9dQ,PT's,6235 S Decatur Blvd Las Vegas NV 89118,1,0,"average",3.5,
xK8WQgALQcP673X3VGvqOA,The Auld Dubliner,Lake Las Vegas Resort 40 Via Bel Canto Henderson NV 89011,1,0,"average",3.5,
05tazaFQt1EnQ_Gk_1AFyg,Nine Fine Irishmen,New York New York Hotel and Casino 3790 Las Vegas Blvd S The Strip Las Vegas NV 89109,1,0,"loud",4.0,
P8-k3G0pCBmOcfNaA63oLg,PT's,310 E Warm Springs Rd Southeast Las Vegas NV 89119,0,0,null,4.0,
upEYCgGGZOuTvwzqnKZK5g,Hennessey's Tavern,425 Fremont St Downtown Las Vegas NV 89101,1,0,"average",3.0,
ywnY2EoUlboGgmXTuczbYQ,PT's,4424 W Spring Mountain Rd Chinatown Las Vegas NV 89102,1,0,"loud",3.5,
wrkErbl0Pi4mszqdqQ8_8g,The Office Bar and Grill,10767 N 116th St Scottsdale AZ 85250,1,0,"very_loud",3.5,
wv2AUfRGki23WqQ5nul6Pw,Winchell's Pub & Grill,199 E Warm Springs Rd Southeast Las Vegas NV 89119,1,0,"average",3.5,
zENkQ3CGMkANafH0jwIn_A,Baseline Pub,1825 E Baseline Rd # 1 Tempe AZ 85283,1,0,"average",4.0,
Zt5l6Ka68O1Hukw4Eoa4Tw,Big Ben British Restaurant & Pub,2000 South Blvd Ste 150 South End Charlotte NC 28203,1,0,"average",3.5,
6TuM3UyFP9O9uzTP0dVZMw,Wally's Pub and Grill,7704 E. Doubletree Ranch Rd Scottsdale AZ 85258,1,0,"average",4.0,
JyJDtNQYszK_MmEmzhkoDw,PT's,10075 S Eastern Ave Anthem Henderson NV 89052,1,0,"average",3.0,
LczmFOyHd7US9DlxC4FUWg,JT Whitney's Pub & Brewery,674 S Whitney Way Madison WI 53711,1,0,null,3.0,
57YV3wsiNBp-aK25qjUeww,Fibber Magees,1989 W Elliot Rd Chandler AZ 85224,1,0,"average",4.0,
bwaj94niH8eOG5p31IKB6Q,Sierra Gold,1341 W Warm Springs Rd Henderson NV 89014,1,0,"average",3.0,
-EctXOb3B7T177jGYUhjVA,Boulders On Broadway,530 W Broadway Tempe AZ 85282,1,0,"average",4.0,
P66sz7bv4Kf0hpv99EJRkg,Claddagh Irish Pub,1611 Aspen Commons Middleton WI 53562,1,0,"average",3.0,
JeXAH4ViHZpZi7RMC-NQjw,Lucky's Bar & Grille,1421 Regent St Vilas Madison WI 53711,1,1,"average",3.0,
6FFLrPh0z_U6JpIUANuaYw,Remedy's Tavern,3265 Saint Rose Pkwy Southeast Henderson NV 89052,1,0,"average",3.5,
Gq092IH6eZqhAXwtXcwc6A,SanTan Brewing Company,8 S San Marcos Pl Chandler AZ 85225,1,0,"loud",4.0,
M8h8cZ4YYFVH8yNHZuKIVg,O'Donoghue's Pub,20469 N Hayden Rd Scottsdale AZ 85255,1,1,"average",3.5,
TfTlOE6h9E9o34dEkw9L_w,The Rose and Crown,628 E Adams St Phoenix AZ 85004,1,0,"average",3.5,
FaiULYK26388GWz7v6tKpA,Churchill's Pub & Grill,2050 N Alma School Rd Ste 8 Chandler AZ 85224,1,0,null,3.5,
9kOeqJmBrieJpTWMih50dA,The Lodge at Shelborne,8350 S Rainbow Blvd Southwest Las Vegas NV 89139,1,0,"average",3.5,
6t6D-6Y3MZXW-ASFnestMQ,Pour 24,New York-New York Las Vegas Hotel & Casino 3790 Las Vegas Blvd S The Strip Las Vegas NV 89109,1,0,"loud",4.0,
zgyAbIVPD5Vjcsn4EkKLKg,Quinn's,Green Valley Ranch Resort & Spa 2305 Paseo Verde Dr Henderson NV 89052,1,1,"loud",4.0,
sxQiL_xBP0AuTWVWEQ9Lzg,Roadrunner Lounge,3219 N Hayden Rd Scottsdale AZ 85251,1,0,"average",3.5,
BpSLpzq_NRYghGSsb10G3A,Tim Finnegan's Irish Restaurant and Pub,9201 N 29th Ave Phoenix AZ 85051,1,0,"average",4.0,
1cryKcsY47JGigLuUeMsTw,The Philosophers Stone Tavern,1958 E 7th St Elizabeth Charlotte NC 28204,1,0,"loud",3.5,
56dxeiBfZkfPi9od9meJYQ,West Wing Bar,MGM Grand 3799 Las Vegas Blvd S Eastside Las Vegas NV 89109,1,0,"quiet",4.0,
UOLoBdnMv0Nsxdxe8xKbYQ,Baer's Den,925 E Apache Blvd Tempe AZ 85281,1,0,"average",4.0,
9vr4pVexU8hhnbQBJECzmg,Mid Town Pub,2405 Allen Blvd Middleton WI 53562,1,0,"average",4.0,
TMhYpQaDcL8UNIKRB7Vebg,Bad Dog American Pub,8933 JM Keynes Dr Ste 2 University City Charlotte NC 28262,1,0,"very_loud",2.5,
R4mr0sYATMaYHBLDKiglEQ,Little Crown & Anchor Pub,4755 Spring Mountain Rd Chinatown Las Vegas NV 89136,1,0,"average",3.5,
ponsgEoUUKJwr-TzcM4BLQ,Bentley's Pub,419 N Neil St Champaign IL 61820,1,0,null,4.5,
QBJrNGuM7A8V3amEKBlpOw,McFadden's,Rio Hotel and Casino 3700 W Flamingo Rd Las Vegas NV 89103,1,0,"very_loud",2.5,
Z2wbbAfIFOo-_8dA5owFYQ,Graduate Food & Pub,1308 The Plaza Plaza Midwood Charlotte NC 28205,1,0,null,3.5,
j7_lgtKqdtNCzf-Jk9jyrA,D'Arcy McGee's,2000 E Rio Salado Pkwy Tempe AZ 85281,1,0,"average",2.5,
ckUOdIfdL9Hl5FJy5VS60g,Sammy's Deli & Neighborhood Pub,25 S Main St Belmont NC 28012,1,0,"loud",3.5,
1TuDep1-bkTot7PQU3_ceg,Tilted Kilt Pub & Eatery,420 Gammon Way Madison WI 53774,1,0,null,2.5,
9qPMGhdVhsltbuBssHUnVA,Morehead Street Tavern,400 E Morehead St South End Charlotte NC 28202,1,0,null,3.0,
fM1IIa5mRAVoS10l0aFT1w,Lis Doon Varna,16100 Arrowhead Fountains Way Peoria AZ 85385,1,0,null,3.5,
TwMfahsPHFnkLiqqvyalAQ,R T O'Sullivan's,1010 W Southern Ave Mesa AZ 85210,1,0,"very_loud",3.0,
41t-hpClH6k5ZlK39Q3WIQ,MountainSide,1442 E Lake Mead Pkwy Henderson NV 89015,1,0,"average",3.0,
0vC19KuagYe9RUXKDP13_Q,The Pub at Gateway,710 W Trade St Third Ward Charlotte NC 28202,1,0,"loud",3.0,
DL8sIhW5Ew7dXvYxEOj9TQ,One Eyed Dog,4432 N Miller Rd Ste 107 Scottsdale AZ 85251,1,0,null,3.0,
YqRptNqPphwwP4Cg2sYQ2g,Martin O'Grady Irish Pub & Grill,7436 Mineral Point Rd Madison WI 53717,1,0,"loud",2.5,
RZma06CqXbOIMzTQL-eJFQ,La Cage Aux Sports,10715 Boulevard Pie Montréal QC H1H,1,0,null,2.5,
tlbDEz7YHDo4diBKf8cynQ,Bar Salon Officiel,351 Roy Rue E Montreal QC H2W 1N1,0,1,null,4.0,
4Af4jxTcRFvKWqSVBZK4dw,Pub Quartier Latin,318 rue Ontario Est Montréal QC H2X 1H6,1,1,"loud",4.0,
4FYJ6pJWYsF0FIhOONUf1g,Benelux,245 Rue Sherbrooke W Montreal QC H2X 1X7,1,0,"loud",4.0,
3FHNMT6IX1j60cutRxkKCQ,Réservoir,9 Rue Duluth E Montreal QC H2W 1G7,1,0,"loud",4.0,
Yz_5BP77Ml3TaEMycEq1Ig,Bières et compagnie,4350 rue Saint-Denis Montréal QC H2J 2L1,1,0,"loud",3.5,
FPR-1Ujh6-LldyseoQ_zlg,La Taverne Normand,1550 Avenue Mont-Royal est Montréal QC H2J 1Z2,1,0,"very_loud",4.0,
kHB5JPUzZIkK9CxgJrXx4g,Sky Pub Club,1474 Rue St.Catherine East Montréal QC H2L 2J1,1,1,"very_loud",3.5,
G_t-j_iRy3_6hYZiVoEwqA,L'amère À Boire,2049 Rue Saint-Denis Montréal QC H2X 3K8,1,0,"loud",4.0,
T5sjJYrlArW46ecxlbKZ2w,Dieu du Ciel,29 av Laurier Ouest Montreal QC H2T 2N2,1,0,"loud",4.5,
HFqH6JCFlG1IdYy-LzvDww,Le Saint Bock,1749 rue Saint-Denis Montreal QC H2X 3K4,1,0,"loud",3.5,
flbOzx2qP3M3F_AMRO8s5w,McKibbin's Irish Pub,1426 Rue Bishop Montreal QC H3G 2E6,1,0,"loud",3.5,
qcvFNvkneWv1zePa3Uq6-w,Ye Olde Orchard Pub & Grill,1189 Rue de La Montagne Montréal QC H3G 1Z2,1,0,"average",4.0,
UxXT8TmSiIwSh1J-V_KSlg,Hurley's Irish Pub,1225  Rue Crescent Montréal QC H3G 2B1,1,0,"average",4.0,
-BmTlLuabuOD81-_9Q3rvg,Brutopia,1219 Rue Crescent Montreal QC H3G 2B1,1,0,"loud",3.5,
6BSbEy8nXqz5lwNRH6fwCg,Le Vieux Dublin,636 Rue Cathcart Montréal QC H3B 1L9,1,0,"loud",3.5,
chIyU8aGX4zct6GJqKWTOQ,Peel Pub,1196 Rue Peel Montréal QC H3B 2T6,1,0,"loud",3.0,
