Business Id,Business Name,Address,By Appointment Only,Open On Weekend,Stars
BZqn7i_Z-MJ1QrxCyjFZSw,Health,4400 N 32nd St Ste 200 Phoenix AZ 85018,1,0,4.5,
5mz8CUNzBGOhrkvRqcWOzA,Health,3133 E Camelback Rd Ste 105 Phoenix AZ 85016,1,0,4.5,
SeSmcvfWQxj3PKiizxkdQg,Health,4507 N 36th St ` Phoenix AZ 85018,1,0,3.5,
HSQ2YcLg5BZK-gwvEMrS6A,Health,4910 N 44th Street Phoenix AZ 85018,1,0,5.0,
uJMwoQ0XGLr2Z4wxEFt-QQ,Health,4726 E Thomas Rd Phoenix AZ 85018,1,0,4.0,
_tJKWq1GebP4ZRfK-aO9mA,Health,6819 N 16th St Ste 4 Phoenix AZ 85016,0,0,5.0,
gVEtYzzezWoy1Jfvtv3ZLg,Health,4444 N 32nd St Ste 175 Phoenix AZ 85018,1,0,4.5,
AJONCMi8dnGWAkD-86FK5A,Health,4280 E Indian School Rd Ste 107 Phoenix AZ 85018,1,1,2.5,
vDftL4Exl7ZcMVx2aPY8mQ,Health,1006 E Guadalupe Rd Tempe AZ 85283,0,0,2.0,
tGTw5eeAwLmaSFKLVasb7w,Health,4512 N 40th St Phoenix AZ 85018,1,0,3.0,
hjeStj9CW_4bIa0sP9Pb-A,Health,4210 N 32nd St Phoenix AZ 85018,1,0,5.0,
psMQBi2uQVN7c-Sw0xjNMw,Health,4350 E Camelback Rd Ste F100 Phoenix AZ 85018,1,1,3.0,
Y68Ysab60gJhX7YBjESgBg,Health,3125 N 32nd St Ste 200 Phoenix AZ 85018,1,0,2.5,
1GXycbqgmD9TfhQFoktSLg,Health,4400 N 32nd St Ste 110 Phoenix AZ 85018,1,0,3.5,
8rMSbtMFVtEien-2EfFu6w,Health,19829 N 27th Ave Phoenix AZ 85027,0,1,3.5,
lgyBsM93DBchuwU-_l0Sfg,Health,7600 N 15th Street Phoenix AZ 85020,1,0,3.5,
AGYchdte4sk69cFK36qaag,Health,9812 N 7th St Ste 6 Phoenix AZ 85020,1,0,5.0,
_ofao_kfutdp71Bh9JiyOw,Health,14231 N 7th St Ste A1 Phoenix AZ 85022,1,0,5.0,
BJo_AOZXaHYXXcuTLRKfpA,Health,7211 N 7th St Phoenix AZ 85020,0,1,2.0,
EmO9TrzP8wB1tB1E8WM-_Q,Health,Phoenix AZ 85020,1,0,5.0,
2Kp4M_Xj554O-KWaNbtpUQ,Health,1747 E Morten Ave Suite 301 Phoenix AZ 85020,1,0,4.0,
_SZwP-ddcBpw7aZsCQKSww,Health,9100 N 2nd Street Phoenix AZ 85020,1,0,4.0,
taTN5p8uXFasKntBkVpAPw,Health,401 E Bell Rd Ste 24 Phoenix AZ 85022,0,0,5.0,
7aGRXdKyjhAilq3XnzZkiw,Health,North Point Dentistry 702 E Bell Rd Phoenix AZ 85022,0,0,4.0,
HtI_uDwZ-obk--VW4JjWHw,Health,14001 N 7th St Ste D-107 Phoenix AZ 85022,1,0,5.0,
w3RRGWhObLI0bLAJ4fsyKQ,Health,1427 E Bell Rd Ste 104 Phoenix AZ 85022,0,0,5.0,
rwzPmdpWG55_6uEmKl9Aqg,Health,12802 N Cave Creek Rd Phoenix AZ 85022,0,0,5.0,
4PIDGWu8BGUSGe1PK926AA,Health,440 E. Bell Rd. Ste 1 Bldg D Phoenix AZ 85022,0,1,4.0,
UiWPs9YknUZk7R6POM80og,Health,18777 N 32nd St Ste 80 Phoenix AZ 85050,1,0,5.0,
nEaJwY77drRqQkJqcd9LRg,Health,4530 N 32nd St Ste 100 Phoenix AZ 85018,1,0,3.0,
ZcaBYLRDDY4ecAPDGWBQzA,Health,11209 N Tatum Blvd Phoenix AZ 85028,1,0,3.0,
e0B-vLvKxGiGV_pTT7vwcg,Health,6950 E Chauncey Ln Ste 100 Phoenix AZ 85054,1,0,2.0,
0-KOpYSe9aQTAfM38f47HQ,Health,11209 N Tatum Boulevard Suite 180 Phoenix AZ 85028,1,0,4.0,
wepFVY82q_tuDzG6lQjHWw,Health,10810 N Tatum Blvd Phoenix AZ 85028,0,1,3.5,
5HVmR0I_MUcpwKcne8zfBA,Health,4045 E Bell Rd Ste 143 Phoenix AZ 85032,1,0,3.0,
6r8KHqgmlM3PWVZ7suyQ6w,Health,4530 E Shea Blvd Phoenix AZ 85028,1,0,2.5,
HpWiJ5iTdOHL7DUBjJOy3A,Health,10221 N 32nd St Ste L Phoenix AZ 85028,1,1,5.0,
xj8DjQHs8E42wGMJ2CmXxA,Health,10211 N 32nd St Ste A1 Phoenix AZ 85028,1,0,5.0,
QsCCPWxWqMe-0jSfryhkXg,Health,11209 N Tatum Blvd Ste 185 Phoenix AZ 85028,0,0,4.0,
LEWcHc09a2uS1dN1GzQi4Q,Health,3241 E Shea Boulevard Phoenix AZ 85028,0,0,5.0,
Dqr1eP7wpo0BnWdMp4ViNg,Health,4550 E Bell Rd Ste 114 Phoenix AZ 85032,1,0,3.0,
Pkt7TCflitq9yK05kTh94g,Health,18404 N Tatum Blvd Ste 203 Phoenix AZ 85032,1,0,4.5,
IEvFly9bhQv60_coRK5cDg,Health,4744 E Thunderbird Rd Ste 4 Phoenix AZ 85032,0,0,5.0,
yQ_Jc3o3ufJFzoImgMHxUQ,Health,3811 E Bell Rd Ste 204 Phoenix AZ 85032,0,0,5.0,
7hmTTGJHKfAw82uT4kIxvQ,Health,12450 N 32nd St Ste 1 Phoenix AZ 85032,1,1,3.5,
9f5WxUG_Vc-PzBmX6SeTew,Health,3815 E Bell Rd Ste 4100 Phoenix AZ 85032,1,0,2.5,
Kpl6cUmrYMczTDY_2RnctA,Health,3811 E Bell Rd Phoenix AZ 85032,1,0,5.0,
066DMYkFeK3ccv_94ijzfw,Health,4760 East Thunderbird Rd Suite 102 Phoenix AZ 85032,0,1,2.0,
E82fr756dDwiuqsFqkeZbQ,Health,3321 E. Bell Rd Ste B12 Phoenix AZ 85032,1,0,2.5,
j6QWiUqPBPcG3KKURJj7Rg,Health,3815 E Bell Rd Ste 1405 Phoenix AZ 85032,0,0,4.0,
Wpi5UiZuyeT3FRaBVeCPNQ,Health,4065 E Bell Rd Phoenix AZ 85032,0,0,3.5,
6DstMT-AT93nw_0jD5cJtQ,Health,14640 N Tatum Blvd Ste 10 Phoenix AZ 85032,0,0,5.0,
iIIuKm65Uv5EmZ44TJiIOw,Health,42104 N Venture Dr Bldg E-101 Anthem AZ 85086,0,0,3.5,
NE5lF576XXlNBc0XlFMUgQ,Health,3841 E Thunderbird Rd Ste 101 Phoenix AZ 85032,1,0,4.5,
9xpYUYI4wbNA4XufvVfKzQ,Health,15255 N 40th St Ste 105 Phoenix AZ 85032,1,0,3.5,
RhRStt-mde_DyNFeC6vZUw,Health,3202 E Greenway Rd Ste 1233 Phoenix AZ 85032,0,0,4.5,
Qm9wnfnsec1PYVqkUmbyNA,Health,4045 E Bell Rd Phoenix AZ 85032,0,0,5.0,
P6WsyvsKyPWB4Vl4E2Pxfg,Health,4665 E Cactus Rd Phoenix AZ 85032,1,1,5.0,
A7i1ZjWVZU-wkonMZXgMQg,Health,3131 E Thunderbird Rd Suite 48 Phoenix AZ 85032,1,0,1.5,
OtVX0d76CjAswVxbpbmZPA,Health,4735 E Union Hills Drive Phoenix AZ 85050,1,0,4.0,
WImuwx-hNX3_bbIAAFh7zQ,Health,16620 N 40th St Ste H1 Phoenix AZ 85032,1,0,2.5,
SC7y-w80q2-85iDDCFuQqA,Health,12320 N 32nd St Ste 1 Phoenix AZ 85032,1,0,4.0,
3L7p-DStdY7oqTy21-lekg,Health,18404 N Tatum Boulevard Suite 101 Phoenix AZ 85032,1,0,3.0,
V3XY_teDTWbuozItW43m0g,Health,9449 N 90th St Ste 100 Scottsdale AZ 85258,0,1,5.0,
S0xheIUam7rYNUI8KiWq3A,Health,4324 E Cactus Rd Phoenix AZ 85032,1,1,4.0,
q02Giy2GKDmfG43XbJisQQ,Health,16421 N Tatum Blvd Ste 202 Phoenix AZ 85032,1,0,3.5,
lBdeo8Kb5uNPoi1KTGybeA,Health,5750 S 32nd St Phoenix AZ 85040,1,1,5.0,
xAQHRZRun9vD-N3OKMxeMA,Health,8008 S Jesse Owens Pkwy Phoenix AZ 85042,0,0,1.0,
yB2wVIEhWnzM1N3B88wJew,Health,2434 E Baseline Rd Phoenix AZ 85042,1,0,4.0,
wNzNiCNab2FqXxcTlXYYEg,Health,4902 E Warner Rd Ste 2 Phoenix AZ 85044,1,1,4.5,
3f63xakGO8jjjvgkULKKqA,Health,4910 E. Ray Rd. Ste. G13 Ahwatukee AZ 85044,0,1,2.5,
VC8OhMI7cDOhKt2CdtBhag,Health,4350 E Ray Rd Phoenix AZ 85044,1,0,4.0,
NK3S3U6TQtysH_-eqT3bBQ,Health,16611 S 40th St Ste 150 Phoenix AZ 85048,1,0,4.0,
ae4iqvf4pCRd5axcBbKCJQ,Health,Mesa AZ 85206,1,0,2.5,
k-TS24Xu0OqHSkjqlHVSCA,Health,15215 S 48th St Ste 175 Phoenix AZ 85044,1,0,3.5,
hfSPhGxCweEmdVwtYph94g,Health,5110 E Warner Rd Ste 250 Phoenix AZ 85044,1,0,4.5,
tLGZuCf_PPK-sGPS66_RZw,Health,10827 S 51 St Ste 201 Phoenix AZ 85044,1,0,2.5,
CGne_Sr7m9HT4ztsWQw6Aw,Health,10850 S 48th St Phoenix AZ 85044,1,0,5.0,
O5Rm12cwxRvGILSAKwH0kQ,Health,15725 S 46th St Ste 112 Phoenix AZ 85048,1,0,5.0,
BNhnxtafzFg5D3aVBxz7jA,Health,4950 E Elliot Rd Phoenix AZ 85044,1,0,4.5,
gCWbmh1xl6sAtCR5BgYDTg,Health,4855 E Warner Rd Ste 23 Phoenix AZ 85044,0,0,5.0,
-xfC8kvDn3TN5uhkeTT0JA,Health,15410 S Mountain Pkwy Ste 112 Phoenix AZ 85044,1,1,4.0,
-5U-BYTx-RqcM8GZnYKYxg,Health,1327 E Chandler Blvd Phoenix AZ 85048,1,0,3.5,
LrZrjC97SmkHkRhVruzIYw,Health,15715 S 46th St Ste 102 Phoenix AZ 85048,1,1,2.0,
MchacUpF1VWbYImddeLsWw,Health,3961 E Chandler Blvd Ste 106 Phoenix AZ 85048,1,0,5.0,
dKezWbuwb6O2em-hYehrRg,Health,4206 E Chandler Blvd Ste 20 Phoenix AZ 85048,1,1,4.5,
vYTzbaemujdD4K4p18hNlw,Health,4232 E Chandler Blvd Ste 10 Phoenix AZ 85048,1,0,5.0,
m5f8H9Pn2AT2624fRadLFA,Health,3961 E Chandler Blvd Suite 104 Phoenix AZ 85048,1,0,4.0,
n_TYubPqgsUGJbnLOJQi_A,Health,4545 E Chandler Blvd Ste 200 Phoenix AZ 85048,0,0,3.5,
Er5cvsO0iZR_aPmoHElN7A,Health,16515 S 40th St Ste 111 Phoenix AZ 85048,1,1,2.5,
qENSItlPXTT0rguV83q-ng,Health,4530 E Muirwood Dr Ste 110 Phoenix AZ 85048,1,0,3.5,
jVaujSVCpH9c2qb7XkvpnA,Health,4909 E Chandler Blvd Ste 501 Phoenix AZ 85048,1,0,5.0,
H5Z1LXj6pietGhd3jnrjHQ,Health,15810 S 45th St Phoenix AZ 85048,1,0,5.0,
lwUDN-fFYz_uZ4aA2Ikj9A,Health,4545 E Chandler Blvd Ste 300 Phoenix AZ 85048,1,0,2.0,
SHOF1J3_V1z_HjsXqnIxqA,Health,4530 E Muirwood Dr Ste 111 Phoenix AZ 85048,1,0,3.5,
BbbkSXu5ujRSSWKD7E3yuw,Health,4530 E Ray Rd Ste 150 Phoenix AZ 85044,1,0,3.0,
X7lGjrkrAkwtMOQbN-S3tA,Health,26232 N Tatum Blvd Ste 400 Phoenix AZ 85050,0,0,5.0,
bWoUwtAmE9M0P4Vs2gH9Vg,Health,26232 N Tatum Boulevard Phoenix AZ 85050,1,0,5.0,
Ah2MGj42bsOSqmMaDsB0wA,Health,26224 N Tatum Blvd Phoenix AZ 85050,1,0,3.0,
6bx7keJBd1OaEyONHG62pQ,Health,3648 W Anthem Way Anthem AZ 85086,0,0,1.0,
_CVcmMqTUequ2u6fbJ48vQ,Health,1445 W Southern Ave Ste 2242 Mesa AZ 85202,0,1,3.5,
CcBOox3znUKO0zV464Jv3Q,Health,1830 South Alma School Road Mesa AZ 85210,1,0,2.0,
2ihIfB4EVH6XOqqjPk5euA,Health,1812 W Baseline Rd Mesa AZ 85202,1,0,5.0,
Rm8jCL-8fbBAPtPpBJGu7Q,Health,1400 S Dobson Rd Mesa AZ 85202,0,1,3.5,
8GCl8kn9Nt8ifp2jdEemdw,Health,16611 S 40th St Ste 100 Phoenix AZ 85048,1,1,3.0,
4x0slSuQ_PQKWAi8Njsw-A,Health,955 W Southern Ave Mesa AZ 85210,1,1,2.0,
EaIhqN7LT-fWfwI_N-f2TA,Health,1930 S Dobson Rd Ste 1 Mesa AZ 85202,1,0,4.0,
RckDRNy07cN5_QvEpGPvNg,Health,6301 S McClintock Drive Suite 215 Tempe AZ 85283,1,0,3.0,
PuROMT3I5U7Yl0ZLnBEWmw,Health,3921 E Baseline Rd Ste 108 Gilbert AZ 85234,1,0,2.5,
sLrdo14R2HdSp3PmnJ3oKA,Health,6301 S McClintock Dr Ste 101 Tempe AZ 85283,1,0,4.0,
FIlsXTZADJVjCmJed8DAxw,Health,1350 S Longmore Mesa AZ 85202,1,0,2.0,
zzs-gtrsGyu2_o8L6vpaIQ,Health,2045 S Vineyard Rd Ste 153 Mesa AZ 85210,1,0,4.0,
GA6-xbZ-uemHe4fbN2GQXQ,Health,1500 S Dobson Road Suite 202 Mesa AZ 85202,1,0,2.0,
3M_I_L68pt68TgZ7k7RXjg,Health,2220 W Southern Ave Ste 102 Mesa AZ 85202,1,0,4.5,
